,Title,Artist,Streams,Date,Followers
396,Summer Cem (feat. Luciano),Summer Cem,653974,2019-09-28,730180
397,El Triste,José José,611197,2019-09-29,1975395
398,La Boca - Remix,Mau y Ricky,585649,2019-09-29,1311462
399,Get You The Moon (feat. Snøw),Kina,634966,2019-09-30,164877
400,EARFQUAKE,"Tyler, The Creator",619719,2019-09-30,3350207
401,Chicken Noodle Soup (feat. Becky G),j-hope,653594,2019-10-01,2151567
402,Good Thing (with Kehlani),Zedd,651058,2019-10-01,4751907
403,Dance Monkey,Tones and I,4750474,2019-10-02,133028
404,Lalala,Y2K,3004380,2019-10-02,77688
405,Good,es (Feat. Young Thug),2865294,2019-10-02,0
406,China,Anuel AA,2755447,2019-10-02,8298835
407,hot girl bummer,blackbear,1953517,2019-10-02,2392922
408,Callaita,Bad Bunny,1869254,2019-10-02,15604201
409,Adicto (with Anuel AA & Ozuna),Tainy,1787460,2019-10-02,38727
410,No Me Conoce - Remix,Jhay Cortez,1762267,2019-10-02,326255
411,No Guidance (feat. Drake),Chris Brown,1758785,2019-10-02,9591226
412,Tutu,Camilo,1681220,2019-10-02,231656
413,223's (feat. 9lokknine),YNW Melly,1587960,2019-10-02,1557350
414,It's You,Ali Gatie,1564659,2019-10-02,274250
415,Piece Of Your Heart,MEDUZA,1559711,2019-10-02,65726
416,Ride It,Regard,1508847,2019-10-02,9040
417,Higher Love,Kygo,1485665,2019-10-02,5528683
418,Good As Hell,Lizzo,1404283,2019-10-02,1321266
419,Soltera - Remix,Lunay,1377844,2019-10-02,811620
420,Shallow,Lady Gaga,1356958,2019-10-02,9243141
421,"Writing on the Wall (feat. Post Malone, Cardi B & Rvssian)",French Montana,1313307,2019-10-02,3054409
422,110,Capital Bra,1235875,2019-10-02,2608544
423,The London (feat. J. Cole & Travis Scott),Young Thug,1221014,2019-10-02,4438325
424,QUE PRETENDES,J Balvin,1194265,2019-10-02,15854803
425,Motivation,Normani,1165373,2019-10-02,544581
426,Con Altura,ROSALÍA,1114064,2019-10-02,1492450
427,If I Can't Have You,Shawn Mendes,1100343,2019-10-02,20526071
428,I.F.L.Y.,Bazzi,1074574,2019-10-02,2242191
429,Post Malone (feat. RANI),Sam Feldt,1067870,2019-10-02,412777
430,Slide Away,Miley Cyrus,1057688,2019-10-02,9962604
431,Quizás,Rich Music LTD,1036896,2019-10-02,13418
432,200 km/h,Apache 207,1000638,2019-10-02,159951
433,Qué Pena,Maluma,990164,2019-10-02,17093224
434,Eastside (with Halsey & Khalid),benny blanco,980516,2019-10-02,374905
435,Without Me,Halsey,980280,2019-10-02,7857171
436,Dancing With A Stranger (with Normani),Sam Smith,971857,2019-10-02,9994805
437,3 Nights,Dominic Fike,945645,2019-10-02,167674
438,Con Calma,Daddy Yankee,940636,2019-10-02,13833361
439,Never Really Over,Katy Perry,921456,2019-10-02,13922870
440,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)",Dimelo Flow,920612,2019-10-02,43048
441,Sweet but Psycho,Ava Max,913915,2019-10-02,702402
442,Fantasias,Rauw Alejandro,908348,2019-10-02,243232
443,Ba,(Lil Ba,904477,2019-10-02,1
444,"thank u, next",Ariana Grande,898204,2019-10-02,36440283
445,Honda Civic,The Cratez,885190,2019-10-02,1219
446,Instagram,Dimitri Vegas & Like Mike,881988,2019-10-02,2587900
447,Indeciso,Reik,880542,2019-10-02,3254028
448,Rescue Me,OneRepublic,865240,2019-10-02,8577514
449,Feel Special,TWICE,863537,2019-10-02,3948238
450,2002,Sido,860858,2019-10-02,843943
451,Only Human,Jonas Brothers,857786,2019-10-02,3013459
452,Say You Won't Let Go,James Arthur,857447,2019-10-02,4708039
453,Que Calor (feat. J Balvin & El Alfa),Major Lazer,850047,2019-10-02,5697228
454,ME! (feat. Brendon Urie of Panic! At The Disco),Taylor Swift,845935,2019-10-02,23414305
455,Let Me Down Slowly,Alec Benjamin,841021,2019-10-02,882728
456,Si Se Da - Remix,Myke Towers,832667,2019-10-02,548811
457,Goteo,Duki,825031,2019-10-02,2342711
458,F.N,Lil Tjay,823644,2019-10-02,452702
459,goosebumps,Travis Scott,819497,2019-10-02,6725694
460,Be Alright,Dean Lewis,817232,2019-10-02,751695
461,Panini - DaBa,Remix,816164,2019-10-02,120088
462,Youngblood,5 Seconds of Summer,814887,2019-10-02,5242530
463,Bad Bad Bad (feat. Lil Ba,),814683,2019-10-02,0
464,Bruises,Lewis Capaldi,812144,2019-10-02,1281549
465,Old Town Road,Lil Nas X,810997,2019-10-02,1363014
466,Calma - Remix,Pedro Capó,806381,2019-10-02,646031
467,Lucid Dreams,Juice WRLD,805902,2019-10-02,5648506
468,Otro Trago,Sech,802013,2019-10-02,1251210
469,Girls Like You (feat. Cardi B),Maroon 5,801463,2019-10-02,20271848
470,High Hopes,Panic! At The Disco,794179,2019-10-02,8044594
471,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,793406,2019-10-02,420236
472,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",Justin Quiles,787028,2019-10-02,1326259
473,Shameless,Camila Cabello,784704,2019-10-02,12215447
474,Pop Out (feat. Lil Tjay),Polo G,784438,2019-10-02,464871
475,Ransom (with Juice WRLD) - Remix,Lil Tecca,783131,2019-10-02,810440
476,2002,Anne-Marie,763747,2019-10-02,4586362
477,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",Mustard,760906,2019-10-02,477157
478,Te Quemaste,Manuel Turizo,757878,2019-10-02,4480111
479,MIDDLE CHILD,J. Cole,756581,2019-10-02,9336236
480,i'm so tired...,Lauv,732172,2019-10-02,1742904
481,Thunder,Imagine Dragons,723892,2019-10-02,22353682
482,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,720708,2019-10-02,11574800
483,Too Good At Good,es,720431,2019-10-02,2101
484,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,712986,2019-10-02,3453730
485,Be Honest (feat. Burna Boy),Jorja Smith,710683,2019-10-02,1120575
486,Verte Ir,DJ Luian,708760,2019-10-02,437830
487,Atrévete,Nicky Jam,707309,2019-10-02,9987364
488,RAW SHIT (feat. Migos),DaBa,706734,2019-10-02,46
489,Going Bad (feat. Drake),Meek Mill,705962,2019-10-02,3561510
490,All of Me,John Legend,704977,2019-10-02,4696480
491,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,692358,2019-10-02,5747294
492,SOS (feat. Aloe Blacc),Avicii,691437,2019-10-02,15292360
493,Shotta Flow (Feat. Blueface) [Remix],NLE Choppa,686387,2019-10-02,434342
494,Tal Vez,Paulo Londra,686238,2019-10-02,7475104
495,Photograph,Ed Sheeran,685650,2019-10-02,52038818
496,Valentino,24kGoldn,683358,2019-10-02,15024
497,Cuerpo en Venta,Noriel,681746,2019-10-02,2587016
498,Boy With Luv (feat. Halsey),BTS,681409,2019-10-02,13773905
499,No Te Debí Besar,C. Tangana,675176,2019-10-02,753040
500,Cuaderno,Dalex,673703,2019-10-02,426498
501,Outnumbered,Dermot Kennedy,670704,2019-10-02,380504
502,Jocelyn Flores,XXXTENTACION,664489,2019-10-02,15569399
503,SLOW DANCING IN THE DARK,Joji,663840,2019-10-02,1737823
504,In My Mind,Dynoro,662115,2019-10-02,138591
505,God's Plan,Drake,661541,2019-10-02,41097450
506,Wonderwall - Remastered,Oasis,656675,2019-10-02,4452076
507,The Git Up,Blanco Brown,656066,2019-10-02,48512
508,comethru,Jeremy Zucker,655177,2019-10-02,486841
509,Stuck In A Dream (feat. Gunna),Lil Mosey,654715,2019-10-02,1020750
510,AYA,Murda,653726,2019-10-02,95707
511,wish you were gay,Billie Eilish,653299,2019-10-02,14178094
512,Closer,The Chainsmokers,651668,2019-10-02,14004943
513,Mad Love,Mabel,651446,2019-10-02,435717
514,Under Pressure - Remastered,Queen,647178,2019-10-02,20170779
515,I'm Gonna Be,Post Malone,646135,2019-10-02,18160776
516,Right Back (feat. A Boogie Wit Da Hoodie),Khalid,644483,2019-10-02,8666528
517,TOES (feat. Lil Ba,& Moneybagg Yo),643940,2019-10-02,0
518,Heartless (feat. Morgan Wallen),Diplo,643544,2019-10-02,2082977
519,Runaway,Sebastian Yatra,642578,2019-10-02,8804258
520,Here With Me,Marshmello,640662,2019-10-02,16946294
521,Baila Conmigo (feat. Kelly Ruiz),Dayvi,639161,2019-10-02,16433
