,Title,Artist,Streams,Date
0,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,4345445,2018-10-02
1,I Love It (& Lil Pump),Kanye West,4066184,2018-10-02
2,Happier,Marshmello,3939751,2018-10-02
3,Falling Down - Bonus Track,Lil Peep,3531142,2018-10-02
4,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,3278623,2018-10-02
5,Eastside (with Halsey & Khalid),benny blanco,3017808,2018-10-02
6,Promises (with Sam Smith),Calvin Harris,3002492,2018-10-02
7,In My Mind,Dynoro,2838533,2018-10-02
8,In My Feelings,Drake,2645287,2018-10-02
9,SICKO MODE,Travis Scott,2614388,2018-10-02
10,Lucid Dreams,Juice WRLD,2474615,2018-10-02
11,Don't Cry (feat. XXXTENTACION),Lil Wayne,2422470,2018-10-02
12,Better,Khalid,2384132,2018-10-02
13,Be Alright,Dean Lewis,2368432,2018-10-02
14,Lucky You (feat. Joyner Lucas),Eminem,2320231,2018-10-02
15,Electricity (with Dua Lipa),Silk City,2262762,2018-10-02
16,Girls Like You (feat. Cardi B),Maroon 5,2223025,2018-10-02
17,SAD!,XXXTENTACION,2215075,2018-10-02
18,Moonlight,XXXTENTACION,2098189,2018-10-02
19,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,2087136,2018-10-02
20,BEBE,6ix9ine,2025045,2018-10-02
21,Vaina Loca,Ozuna,1968345,2018-10-02
22,Natural,Imagine Dragons,1935637,2018-10-02
23,Let It Fly (feat. Travis Scott),Lil Wayne,1906686,2018-10-02
24,I Like It,Cardi B,1865617,2018-10-02
25,Taste (feat. Offset),Tyga,1857327,2018-10-02
26,Uproar,Lil Wayne,1831886,2018-10-02
27,Better Now,Post Malone,1813775,2018-10-02
28,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,1726001,2018-10-02
29,What About Me (feat. Sosamann),Lil Wayne,1681599,2018-10-02
30,Mo Bamba,Sheck Wes,1667624,2018-10-02
31,breathin,Ariana Grande,1665467,2018-10-02
32,No Brainer,DJ Khaled,1662746,2018-10-02
33,Beautiful (feat. Camila Cabello),Bazzi,1646376,2018-10-02
34,Youngblood,5 Seconds of Summer,1622693,2018-10-02
35,Killshot,Eminem,1611025,2018-10-02
36,Nonstop,Drake,1587169,2018-10-02
37,Rise,Jonas Blue,1579601,2018-10-02
38,Wake Up in the Sky,Gucci Mane,1571550,2018-10-02
39,Solo (feat. Demi Lovato),Clean Bandit,1565291,2018-10-02
40,Dedicate,Lil Wayne,1540777,2018-10-02
41,Te Boté - Remix,Nio Garcia,1535638,2018-10-02
42,Thunderclouds,Sia,1530691,2018-10-02
43,God is a woman,Ariana Grande,1522916,2018-10-02
44,Jocelyn Flores,XXXTENTACION,1505739,2018-10-02
45,Can't Be Broken,Lil Wayne,1483479,2018-10-02
46,Drip Too Hard,Lil Ba,1475930,2018-10-02
47,Shotgun,George Ezra,1451696,2018-10-02
48,One Kiss (with Dua Lipa),Calvin Harris,1378607,2018-10-02
49,Body (feat. Brando),Loud Luxury,1376869,2018-10-02
50,Noticed,Lil Mosey,1362104,2018-10-02
51,No Es Justo,J Balvin,1337528,2018-10-02
52,Cuando Te Besé,Becky G,1328984,2018-10-02
53,Jackie Chan,Tiësto,1318420,2018-10-02
54,rockstar (feat. 21 Savage),Post Malone,1297239,2018-10-02
55,New Patek,Lil Uzi Vert,1296217,2018-10-02
56,Good,e (feat. Nicki Minaj & Willy William),1287915,2018-10-02
57,no tears left to cry,Ariana Grande,1287515,2018-10-02
58,changes,XXXTENTACION,1272700,2018-10-02
59,God's Plan,Drake,1266566,2018-10-02
60,High Hopes,Panic! At The Disco,1257331,2018-10-02
61,Quiere Beber,Anuel AA,1257288,2018-10-02
62,No Stylist,French Montana,1207088,2018-10-02
63,Sin Pijama,Becky G,1140821,2018-10-02
64,Love Someone,Lukas Graham,1126570,2018-10-02
65,Fuck Love (feat. Trippie Redd),XXXTENTACION,1111648,2018-10-02
66,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,1110900,2018-10-02
67,2002,Anne-Marie,1107313,2018-10-02
68,Mala Mía,Maluma,1105033,2018-10-02
69,REMEDY,Alesso,1077388,2018-10-02
70,Shape of You,Ed Sheeran,1072902,2018-10-02
71,Let You Love Me,Rita Ora,1061793,2018-10-02
72,Psycho (feat. Ty Dolla $ign),Post Malone,1061392,2018-10-02
73,Amigos Con Derechos,Reik,1037649,2018-10-02
74,Happy Now,Zedd,1024916,2018-10-02
75,Dark Side Of The Moon (feat. Nicki Minaj),Lil Wayne,1023607,2018-10-02
76,STARGAZING,Travis Scott,1017806,2018-10-02
77,Perfect,Ed Sheeran,1011057,2018-10-02
78,Famous (feat. Reginae Carter),Lil Wayne,1004972,2018-10-02
79,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,1004525,2018-10-02
80,Believer,Imagine Dragons,993014,2018-10-02
81,lovely (with Khalid),Billie Eilish,990046,2018-10-02
82,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,976920,2018-10-02
83,Yes Indeed,Lil Ba,966029,2018-10-02
84,IDGAF,Dua Lipa,956018,2018-10-02
85,Clandestino,Shakira,955167,2018-10-02
86,Ocean (feat. Khalid),Martin Garrix,954264,2018-10-02
87,Shallow,Lady Gaga,951854,2018-10-02
88,Havana (feat. Young Thug),Camila Cabello,939454,2018-10-02
89,The Ringer,Eminem,931733,2018-10-02
90,SLOW DANCING IN THE DARK,Joji,930751,2018-10-02
91,Ya No Tiene Novio,Sebastian Yatra,930502,2018-10-02
92,The Middle,Zedd,918742,2018-10-02
93,Asesina,Brytiago,918740,2018-10-02
94,FRIENDS,Marshmello,918623,2018-10-02
95,Dope Niggaz (feat. Snoop Dogg),Lil Wayne,916325,2018-10-02
96,Sweet but Psycho,Ava Max,914271,2018-10-02
97,Culpables,KAROL G,909455,2018-10-02
98,Nevermind,Dennis Lloyd,908035,2018-10-02
99,Say My Name,David Guetta,906882,2018-10-02
100,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,905382,2018-10-02
101,I Like Me Better,Lauv,901051,2018-10-02
102,High On Life (feat. Bonn),Martin Garrix,892276,2018-10-02
103,New Rules,Dua Lipa,887936,2018-10-02
104,Born To Be Yours,Kygo,884727,2018-10-02
105,Thunder,Imagine Dragons,879170,2018-10-02
106,Nice For What,Drake,878168,2018-10-02
107,Everybody Dies In Their Nightmares,XXXTENTACION,875485,2018-10-02
108,I'm a Mess,Bebe Rexha,865718,2018-10-02
109,Love Lies (with Normani),Khalid,862471,2018-10-02
110,Open Letter,Lil Wayne,855409,2018-10-02
111,Leave Me Alone,Flipp Dinero,853437,2018-10-02
112,No Me Acuerdo,Thalía,852540,2018-10-02
113,Trip,Ella Mai,836041,2018-10-02
114,All Girls Are The Same,Juice WRLD,826816,2018-10-02
115,Toda - Remix,Alex Rose,816884,2018-10-02
116,"If I'm Lyin, I'm Flyin",Kodak Black,812256,2018-10-02
117,Fall,Eminem,811858,2018-10-02
118,I Fall Apart,Post Malone,808021,2018-10-02
119,Too Good At Good,es,803926,2018-10-02
120,Look Alive (feat. Drake),BlocBoy JB,803713,2018-10-02
121,Lean Wit Me,Juice WRLD,801183,2018-10-02
122,Look At Me!,XXXTENTACION,795523,2018-10-02
123,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,788610,2018-10-02
124,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,785924,2018-10-02
125,YOSEMITE,Travis Scott,785874,2018-10-02
126,XO Tour Llif3,Lil Uzi Vert,782009,2018-10-02
127,Lost In Japan - Remix,Shawn Mendes,779930,2018-10-02
128,Darkside,Alan Walker,756969,2018-10-02
129,Want To,Dua Lipa,754009,2018-10-02
130,Say You Won't Let Go,James Arthur,751894,2018-10-02
131,There's No Way (feat. Julia Michaels),Lauv,743795,2018-10-02
132,Problems,Lil Wayne,741189,2018-10-02
133,Sin (feat. Jaden Smith),Young Thug,739921,2018-10-02
134,La player (Bandolera),Zion & Lennox,738913,2018-10-02
135,These Days,Rudimental,737824,2018-10-02
136,Hipócrita,Anuel AA,737177,2018-10-02
137,Happier,Ed Sheeran,737144,2018-10-02
138,Drew Barrymore,Bryce Vine,733586,2018-10-02
139,In My Blood,Shawn Mendes,727468,2018-10-02
140,the remedy for a broken heart (why am I so in love),XXXTENTACION,727450,2018-10-02
141,Me Niego (feat. Ozuna & Wisin),Reik,724228,2018-10-02
142,Blah Blah Blah,Armin van Buuren,723004,2018-10-02
143,REEL IT IN,Aminé,719455,2018-10-02
144,SWISH,Tyga,715991,2018-10-02
145,Flames,David Guetta,715345,2018-10-02
146,All I Am,Jess Glynne,709903,2018-10-02
147,Wasted (feat. Lil Uzi Vert),Juice WRLD,708433,2018-10-02
148,Self Care,Mac Miller,708214,2018-10-02
149,X - Remix,Nicky Jam,698708,2018-10-02
150,Hittas,Lil Wayne,696068,2018-10-02
151,Let It All Work Out,Lil Wayne,694787,2018-10-02
152,8 Letters,Why Don't We,691518,2018-10-02
153,Open Safe,Lil Wayne,688421,2018-10-02
154,Not Alike (feat. Royce Da 5'9),Eminem,688266,2018-10-02
155,Closer,The Chainsmokers,686750,2018-10-02
156,OTW,Khalid,683667,2018-10-02
157,What Lovers Do (feat. SZA),Maroon 5,677525,2018-10-02
158,Congratulations,Post Malone,671148,2018-10-02
159,Mine,Bazzi,671078,2018-10-02
160,I'm Yours,Jason Mraz,670073,2018-10-02
161,Hope,XXXTENTACION,669705,2018-10-02
162,HUMBLE.,Kendrick Lamar,665249,2018-10-02
163,Took His Time,Lil Wayne,664390,2018-10-02
164,Celoso,Lele Pons,664238,2018-10-02
165,Me Dijeron,Ozuna,657661,2018-10-02
166,Unica,Ozuna,653723,2018-10-02
167,Diamond Heart,Alan Walker,652091,2018-10-02
168,Call Out My Name,The Weeknd,651300,2018-10-02
169,Venom - Music From The Motion Picture,Eminem,651105,2018-10-02
170,RAP DEVIL,Machine Gun Kelly,650915,2018-10-02
171,Young Dumb & Broke,Khalid,643737,2018-10-02
172,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,640207,2018-10-02
173,X,Nicky Jam,640024,2018-10-02
174,Don’t Matter To Me (with Michael Jackson),Drake,637129,2018-10-02
175,Love No More,Loud Luxury,632459,2018-10-02
176,Thinking out Loud,Ed Sheeran,631483,2018-10-02
177,Silence,Marshmello,629583,2018-10-02
178,Something Just Like This,The Chainsmokers,628139,2018-10-02
179,Photograph,Ed Sheeran,628061,2018-10-02
180,Africa,TOTO,625722,2018-10-02
181,Wonderwall - Remastered,Oasis,621082,2018-10-02
182,Greatest,Eminem,617472,2018-10-02
183,Mess,Lil Wayne,616727,2018-10-02
184,Estamos Bien,Bad Bunny,607871,2018-10-02
185,Mr. Brightside,The Killers,607440,2018-10-02
186,Ric Flair Drip (& Metro Boomin),Offset,607308,2018-10-02
187,Madura (feat. Bad Bunny),Cosculluela,603133,2018-10-02
188,Wolves,Selena Gomez,595398,2018-10-02
189,Culpables,Manuel Turizo,591925,2018-10-02
190,Used 2,Lil Wayne,589450,2018-10-02
191,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,587681,2018-10-02
192,Por Perro,Sebastian Yatra,583285,2018-10-02
193,goosebumps,Travis Scott,582263,2018-10-02
194,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,580175,2018-10-02
195,Remind Me to Forget,Kygo,579567,2018-10-02
196,Whatever It Takes,Imagine Dragons,579038,2018-10-02
197,ICONIC (ft. Jaden Smith),Logic,578607,2018-10-02
198,Unforgettable,French Montana,578210,2018-10-02
199,All The Stars (with SZA),Kendrick Lamar,578109,2018-10-02
200,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,4418652,2018-10-03
201,Happier,Marshmello,4022614,2018-10-03
202,I Love It (& Lil Pump),Kanye West,4007105,2018-10-03
203,Falling Down - Bonus Track,Lil Peep,3474634,2018-10-03
204,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,3034629,2018-10-03
205,Eastside (with Halsey & Khalid),benny blanco,3034007,2018-10-03
206,Promises (with Sam Smith),Calvin Harris,3014501,2018-10-03
207,In My Mind,Dynoro,2832198,2018-10-03
208,SICKO MODE,Travis Scott,2647289,2018-10-03
209,In My Feelings,Drake,2632904,2018-10-03
210,Lucid Dreams,Juice WRLD,2488923,2018-10-03
211,Better,Khalid,2383580,2018-10-03
212,Electricity (with Dua Lipa),Silk City,2377393,2018-10-03
213,Be Alright,Dean Lewis,2373511,2018-10-03
214,Lucky You (feat. Joyner Lucas),Eminem,2281075,2018-10-03
215,SAD!,XXXTENTACION,2237969,2018-10-03
216,Girls Like You (feat. Cardi B),Maroon 5,2229688,2018-10-03
217,Moonlight,XXXTENTACION,2186857,2018-10-03
218,Don't Cry (feat. XXXTENTACION),Lil Wayne,2173614,2018-10-03
219,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,2061066,2018-10-03
220,BEBE,6ix9ine,2034838,2018-10-03
221,Vaina Loca,Ozuna,1994686,2018-10-03
222,Natural,Imagine Dragons,1957617,2018-10-03
223,I Like It,Cardi B,1886840,2018-10-03
224,Taste (feat. Offset),Tyga,1877554,2018-10-03
225,Better Now,Post Malone,1846672,2018-10-03
226,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,1793212,2018-10-03
227,Let It Fly (feat. Travis Scott),Lil Wayne,1697958,2018-10-03
228,Beautiful (feat. Camila Cabello),Bazzi,1692048,2018-10-03
229,Mo Bamba,Sheck Wes,1677465,2018-10-03
230,No Brainer,DJ Khaled,1677460,2018-10-03
231,Uproar,Lil Wayne,1671435,2018-10-03
232,Youngblood,5 Seconds of Summer,1648118,2018-10-03
233,breathin,Ariana Grande,1642772,2018-10-03
234,Nonstop,Drake,1623897,2018-10-03
235,Wake Up in the Sky,Gucci Mane,1596737,2018-10-03
236,Killshot,Eminem,1581472,2018-10-03
237,Solo (feat. Demi Lovato),Clean Bandit,1577961,2018-10-03
238,Rise,Jonas Blue,1570835,2018-10-03
239,Thunderclouds,Sia,1561636,2018-10-03
240,Te Boté - Remix,Nio Garcia,1556859,2018-10-03
241,Drip Too Hard,Lil Ba,1547050,2018-10-03
242,What About Me (feat. Sosamann),Lil Wayne,1528883,2018-10-03
243,God is a woman,Ariana Grande,1524472,2018-10-03
244,Jocelyn Flores,XXXTENTACION,1517380,2018-10-03
245,Shotgun,George Ezra,1472690,2018-10-03
246,Noticed,Lil Mosey,1434610,2018-10-03
247,One Kiss (with Dua Lipa),Calvin Harris,1398635,2018-10-03
248,Dedicate,Lil Wayne,1390122,2018-10-03
249,Body (feat. Brando),Loud Luxury,1387991,2018-10-03
250,No Es Justo,J Balvin,1337818,2018-10-03
251,Cuando Te Besé,Becky G,1334311,2018-10-03
252,rockstar (feat. 21 Savage),Post Malone,1327749,2018-10-03
253,Can't Be Broken,Lil Wayne,1301670,2018-10-03
254,Jackie Chan,Tiësto,1299819,2018-10-03
255,Good,e (feat. Nicki Minaj & Willy William),1299298,2018-10-03
256,no tears left to cry,Ariana Grande,1295115,2018-10-03
257,New Patek,Lil Uzi Vert,1295056,2018-10-03
258,Quiere Beber,Anuel AA,1290022,2018-10-03
259,changes,XXXTENTACION,1284911,2018-10-03
260,God's Plan,Drake,1283439,2018-10-03
261,High Hopes,Panic! At The Disco,1275472,2018-10-03
262,No Stylist,French Montana,1225627,2018-10-03
263,Love Someone,Lukas Graham,1178133,2018-10-03
264,Sin Pijama,Becky G,1160329,2018-10-03
265,Mala Mía,Maluma,1138770,2018-10-03
266,2002,Anne-Marie,1136858,2018-10-03
267,Let You Love Me,Rita Ora,1133972,2018-10-03
268,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,1129291,2018-10-03
269,Fuck Love (feat. Trippie Redd),XXXTENTACION,1122434,2018-10-03
270,Shape of You,Ed Sheeran,1102690,2018-10-03
271,Psycho (feat. Ty Dolla $ign),Post Malone,1092067,2018-10-03
272,Amigos Con Derechos,Reik,1089643,2018-10-03
273,REMEDY,Alesso,1082635,2018-10-03
274,Happy Now,Zedd,1039434,2018-10-03
275,STARGAZING,Travis Scott,1032453,2018-10-03
276,Perfect,Ed Sheeran,1016695,2018-10-03
277,Believer,Imagine Dragons,1009349,2018-10-03
278,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,1002805,2018-10-03
279,lovely (with Khalid),Billie Eilish,990987,2018-10-03
280,Shallow,Lady Gaga,987574,2018-10-03
281,Sweet but Psycho,Ava Max,987313,2018-10-03
282,Yes Indeed,Lil Ba,986155,2018-10-03
283,IDGAF,Dua Lipa,978710,2018-10-03
284,Clandestino,Shakira,975038,2018-10-03
285,Whenever (feat. Conor Maynard),Kris Kross Amsterdam,969111,2018-10-03
286,Ocean (feat. Khalid),Martin Garrix,958275,2018-10-03
287,FRIENDS,Marshmello,957529,2018-10-03
288,Ya No Tiene Novio,Sebastian Yatra,954613,2018-10-03
289,Havana (feat. Young Thug),Camila Cabello,953749,2018-10-03
290,Asesina,Brytiago,944824,2018-10-03
291,The Middle,Zedd,941587,2018-10-03
292,Culpables,KAROL G,932262,2018-10-03
293,SLOW DANCING IN THE DARK,Joji,928876,2018-10-03
294,Nevermind,Dennis Lloyd,923076,2018-10-03
295,Don't Leave Me Alone (feat. Anne-Marie),David Guetta,916664,2018-10-03
296,I Like Me Better,Lauv,914036,2018-10-03
297,The Ringer,Eminem,913633,2018-10-03
298,New Rules,Dua Lipa,911219,2018-10-03
299,Say My Name,David Guetta,907672,2018-10-03
300,High On Life (feat. Bonn),Martin Garrix,906501,2018-10-03
301,Thunder,Imagine Dragons,900814,2018-10-03
302,Leave Me Alone,Flipp Dinero,887831,2018-10-03
303,Nice For What,Drake,884069,2018-10-03
304,Famous (feat. Reginae Carter),Lil Wayne,883572,2018-10-03
305,Everybody Dies In Their Nightmares,XXXTENTACION,882530,2018-10-03
306,No Me Acuerdo,Thalía,878398,2018-10-03
307,Dark Side Of The Moon (feat. Nicki Minaj),Lil Wayne,877954,2018-10-03
308,I'm a Mess,Bebe Rexha,874432,2018-10-03
309,Love Lies (with Normani),Khalid,873164,2018-10-03
310,Born To Be Yours,Kygo,871554,2018-10-03
311,All Girls Are The Same,Juice WRLD,844154,2018-10-03
312,Trip,Ella Mai,838809,2018-10-03
313,Toda - Remix,Alex Rose,835112,2018-10-03
314,I Fall Apart,Post Malone,827944,2018-10-03
315,Lean Wit Me,Juice WRLD,823576,2018-10-03
316,Look At Me!,XXXTENTACION,807404,2018-10-03
317,Too Good At Good,es,807100,2018-10-03
318,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,804324,2018-10-03
319,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,802570,2018-10-03
320,Look Alive (feat. Drake),BlocBoy JB,802479,2018-10-03
321,YOSEMITE,Travis Scott,797518,2018-10-03
322,Fall,Eminem,792506,2018-10-03
323,Dope Niggaz (feat. Snoop Dogg),Lil Wayne,792076,2018-10-03
324,XO Tour Llif3,Lil Uzi Vert,788700,2018-10-03
325,Lost In Japan - Remix,Shawn Mendes,785253,2018-10-03
326,"If I'm Lyin, I'm Flyin",Kodak Black,783381,2018-10-03
327,Want To,Dua Lipa,772374,2018-10-03
328,Drew Barrymore,Bryce Vine,764305,2018-10-03
329,Say You Won't Let Go,James Arthur,758854,2018-10-03
330,La player (Bandolera),Zion & Lennox,757926,2018-10-03
331,Darkside,Alan Walker,755565,2018-10-03
332,Hipócrita,Anuel AA,754622,2018-10-03
333,Happier,Ed Sheeran,742942,2018-10-03
334,All I Am,Jess Glynne,742119,2018-10-03
335,Me Niego (feat. Ozuna & Wisin),Reik,740714,2018-10-03
336,These Days,Rudimental,740342,2018-10-03
337,Open Letter,Lil Wayne,733975,2018-10-03
338,the remedy for a broken heart (why am I so in love),XXXTENTACION,728400,2018-10-03
339,REEL IT IN,Aminé,727169,2018-10-03
340,In My Blood,Shawn Mendes,726941,2018-10-03
341,Sin (feat. Jaden Smith),Young Thug,726797,2018-10-03
342,There's No Way (feat. Julia Michaels),Lauv,726304,2018-10-03
343,Flames,David Guetta,722423,2018-10-03
344,Wasted (feat. Lil Uzi Vert),Juice WRLD,721952,2018-10-03
345,X - Remix,Nicky Jam,718305,2018-10-03
346,SWISH,Tyga,711964,2018-10-03
347,Self Care,Mac Miller,711181,2018-10-03
348,Closer,The Chainsmokers,703650,2018-10-03
349,Blah Blah Blah,Armin van Buuren,698047,2018-10-03
350,What Lovers Do (feat. SZA),Maroon 5,696223,2018-10-03
351,Mine,Bazzi,693359,2018-10-03
352,8 Letters,Why Don't We,692473,2018-10-03
353,Congratulations,Post Malone,683987,2018-10-03
354,OTW,Khalid,679772,2018-10-03
355,Not Alike (feat. Royce Da 5'9),Eminem,677920,2018-10-03
356,I'm Yours,Jason Mraz,677757,2018-10-03
357,Hope,XXXTENTACION,674959,2018-10-03
358,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,673472,2018-10-03
359,Diamond Heart,Alan Walker,672528,2018-10-03
360,HUMBLE.,Kendrick Lamar,670723,2018-10-03
361,Celoso,Lele Pons,669779,2018-10-03
362,Me Dijeron,Ozuna,668184,2018-10-03
363,Venom - Music From The Motion Picture,Eminem,667481,2018-10-03
364,Love No More,Loud Luxury,663839,2018-10-03
365,Unica,Ozuna,660522,2018-10-03
366,Young Dumb & Broke,Khalid,658212,2018-10-03
367,Call Out My Name,The Weeknd,648642,2018-10-03
368,Silence,Marshmello,645389,2018-10-03
369,Don’t Matter To Me (with Michael Jackson),Drake,644923,2018-10-03
370,X,Nicky Jam,641678,2018-10-03
371,RAP DEVIL,Machine Gun Kelly,639246,2018-10-03
372,Thinking out Loud,Ed Sheeran,636558,2018-10-03
373,Something Just Like This,The Chainsmokers,635116,2018-10-03
374,Problems,Lil Wayne,634879,2018-10-03
375,Africa,TOTO,634119,2018-10-03
376,Photograph,Ed Sheeran,632776,2018-10-03
377,Wonderwall - Remastered,Oasis,623558,2018-10-03
378,Ric Flair Drip (& Metro Boomin),Offset,620528,2018-10-03
379,Let It All Work Out,Lil Wayne,620401,2018-10-03
380,Madura (feat. Bad Bunny),Cosculluela,618788,2018-10-03
381,Estamos Bien,Bad Bunny,616237,2018-10-03
382,Wolves,Selena Gomez,612707,2018-10-03
383,Greatest,Eminem,606063,2018-10-03
384,Mr. Brightside,The Killers,601556,2018-10-03
385,Por Perro,Sebastian Yatra,597032,2018-10-03
386,Hopeless Romantic (feat. Swae Lee),Wiz Khalifa,596085,2018-10-03
387,Hittas,Lil Wayne,595723,2018-10-03
388,Open Safe,Lil Wayne,594148,2018-10-03
389,Culpables,Manuel Turizo,594052,2018-10-03
390,goosebumps,Travis Scott,590642,2018-10-03
391,All The Stars (with SZA),Kendrick Lamar,588377,2018-10-03
392,Remind Me to Forget,Kygo,586180,2018-10-03
393,You Say,Lauren Daigle,584531,2018-10-03
394,Perfect Duet (Ed Sheeran & Beyoncé),Ed Sheeran,584523,2018-10-03
395,Whatever It Takes,Imagine Dragons,582592,2018-10-03
396,Unforgettable,French Montana,580776,2018-10-03
397,Let You Down,NF,575398,2018-10-03
398,Plug Walk,Rich The Kid,573042,2018-10-03
399,Took His Time,Lil Wayne,570711,2018-10-03
400,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,4552667,2018-10-04
401,Happier,Marshmello,4034746,2018-10-04
402,I Love It (& Lil Pump),Kanye West,4025680,2018-10-04
403,Falling Down - Bonus Track,Lil Peep,3443258,2018-10-04
404,Eastside (with Halsey & Khalid),benny blanco,3047448,2018-10-04
405,Promises (with Sam Smith),Calvin Harris,2994477,2018-10-04
406,In My Mind,Dynoro,2880978,2018-10-04
407,Mona Lisa (feat. Kendrick Lamar),Lil Wayne,2817063,2018-10-04
408,SICKO MODE,Travis Scott,2735888,2018-10-04
409,In My Feelings,Drake,2659116,2018-10-04
410,Lucid Dreams,Juice WRLD,2538537,2018-10-04
411,Be Alright,Dean Lewis,2366496,2018-10-04
412,Electricity (with Dua Lipa),Silk City,2340417,2018-10-04
413,Better,Khalid,2337509,2018-10-04
414,SAD!,XXXTENTACION,2274554,2018-10-04
415,Lucky You (feat. Joyner Lucas),Eminem,2269563,2018-10-04
416,Moonlight,XXXTENTACION,2259392,2018-10-04
417,Girls Like You (feat. Cardi B),Maroon 5,2210019,2018-10-04
418,FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,2074400,2018-10-04
419,BEBE,6ix9ine,2072482,2018-10-04
420,Vaina Loca,Ozuna,2036508,2018-10-04
421,Natural,Imagine Dragons,1946139,2018-10-04
422,Don't Cry (feat. XXXTENTACION),Lil Wayne,1933996,2018-10-04
423,Taste (feat. Offset),Tyga,1910645,2018-10-04
424,I Like It,Cardi B,1885494,2018-10-04
425,Better Now,Post Malone,1861798,2018-10-04
426,This Feeling (feat. Kelsea Ballerini),The Chainsmokers,1801274,2018-10-04
427,Mo Bamba,Sheck Wes,1745497,2018-10-04
428,No Brainer,DJ Khaled,1661950,2018-10-04
429,Nonstop,Drake,1658696,2018-10-04
430,Beautiful (feat. Camila Cabello),Bazzi,1653319,2018-10-04
431,Drip Too Hard,Lil Ba,1644842,2018-10-04
432,Youngblood,5 Seconds of Summer,1642499,2018-10-04
433,Te Boté - Remix,Nio Garcia,1596106,2018-10-04
434,Wake Up in the Sky,Gucci Mane,1588613,2018-10-04
435,Killshot,Eminem,1579094,2018-10-04
436,breathin,Ariana Grande,1577034,2018-10-04
437,Solo (feat. Demi Lovato),Clean Bandit,1575667,2018-10-04
438,Rise,Jonas Blue,1567600,2018-10-04
439,Thunderclouds,Sia,1546038,2018-10-04
440,Uproar,Lil Wayne,1535780,2018-10-04
441,Let It Fly (feat. Travis Scott),Lil Wayne,1533718,2018-10-04
442,Jocelyn Flores,XXXTENTACION,1529316,2018-10-04
443,Noticed,Lil Mosey,1525841,2018-10-04
444,God is a woman,Ariana Grande,1509803,2018-10-04
445,Shotgun,George Ezra,1446172,2018-10-04
446,Body (feat. Brando),Loud Luxury,1389986,2018-10-04
447,One Kiss (with Dua Lipa),Calvin Harris,1387391,2018-10-04
448,What About Me (feat. Sosamann),Lil Wayne,1381657,2018-10-04
449,No Es Justo,J Balvin,1366370,2018-10-04
450,Cuando Te Besé,Becky G,1362197,2018-10-04
451,rockstar (feat. 21 Savage),Post Malone,1359211,2018-10-04
452,Quiere Beber,Anuel AA,1318509,2018-10-04
453,Jackie Chan,Tiësto,1310870,2018-10-04
454,God's Plan,Drake,1300127,2018-10-04
455,changes,XXXTENTACION,1299578,2018-10-04
456,New Patek,Lil Uzi Vert,1291273,2018-10-04
457,Good,e (feat. Nicki Minaj & Willy William),1285840,2018-10-04
458,no tears left to cry,Ariana Grande,1267624,2018-10-04
459,High Hopes,Panic! At The Disco,1267506,2018-10-04
460,Dedicate,Lil Wayne,1259850,2018-10-04
461,No Stylist,French Montana,1256899,2018-10-04
462,Sin Pijama,Becky G,1182856,2018-10-04
463,Love Someone,Lukas Graham,1169961,2018-10-04
464,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,1162618,2018-10-04
465,Mala Mía,Maluma,1157865,2018-10-04
466,Let You Love Me,Rita Ora,1136905,2018-10-04
467,Can't Be Broken,Lil Wayne,1136129,2018-10-04
468,Fuck Love (feat. Trippie Redd),XXXTENTACION,1122477,2018-10-04
469,2002,Anne-Marie,1118298,2018-10-04
470,Amigos Con Derechos,Reik,1114376,2018-10-04
471,Psycho (feat. Ty Dolla $ign),Post Malone,1110591,2018-10-04
472,Shallow,Lady Gaga,1100326,2018-10-04
473,Shape of You,Ed Sheeran,1099673,2018-10-04
474,REMEDY,Alesso,1077777,2018-10-04
475,STARGAZING,Travis Scott,1056066,2018-10-04
